posteam,week,defteam,o_epa,n,d_adj,per_play_eff,total_performance
MIN,13,JAX,-0.082336164,94,0.114126216,-0.19646238,-18.46746374
MIN,14,TB,0.036745767,79,-0.053262442,0.090008209,7.110648509
MIN,15,CHI,-0.023563621,66,-0.050947278,0.027383658,1.807321406
MIN,16,NO,0.073689497,49,-0.118106184,0.191795681,9.397988385
MIN,17,DET,0.126364625,76,0.131459464,-0.005094839,-0.38720779
NE,1,MIA,0.138330511,59,-0.021591536,0.159922047,9.435400778
NE,2,SEA,0.080581314,71,-0.012151692,0.092733006,6.584043448
NE,3,LV,0.136290505,65,0.043823688,0.092466817,6.010343118
NE,4,KC,-0.045840621,70,0.005028053,-0.050868674,-3.560807175
NE,6,DEN,-0.148602182,56,-0.050231129,-0.098371053,-5.508778993
NE,7,SF,-0.210825546,32,-0.044868043,-0.165957503,-5.310640095
NE,8,BUF,0.04687242,67,-0.007982332,0.054854752,3.675268381
NE,9,NYJ,0.114644923,80,0.057431782,0.057213142,4.577051353
NE,10,BAL,0.030723824,54,-0.070579104,0.101302928,5.470358087
NE,11,HOU,0.020699123,69,0.087035072,-0.066335949,-4.577180489
NE,12,ARI,-0.262140954,51,0.011023598,-0.273164552,-13.93139214
NE,13,LAC,0.041380781,45,-0.028149219,0.06953,3.128850016
NE,14,LA,-0.32795994,50,-0.124080977,-0.203878963,-10.19394816
NE,15,MIA,-0.062676564,54,-0.005641486,-0.057035078,-3.079894211
NE,16,BUF,-0.123285228,39,0.000301772,-0.123586999,-4.819892978
NE,17,NYJ,0.152403347,58,0.054432175,0.097971171,5.682327937
NO,1,TB,-0.164297436,59,-0.041443575,-0.122853861,-7.248377798
NO,2,LV,0.08167005,60,0.05173369,0.02993636,1.796181622
NO,3,GB,0.100587365,61,-0.026566594,0.127153959,7.756391492
NO,4,DET,0.180476385,68,0.132115559,0.048360826,3.288536187
NO,5,LAC,-0.065821498,77,-0.013403889,-0.05241761,-4.036155953
NO,7,CAR,0.17234195,70,0.022241873,0.150100077,10.50700539
NO,8,CHI,-0.010315665,75,-0.051772741,0.041457076,3.109280709
NO,9,TB,0.378119416,49,-0.062437567,0.440556983,21.58729218
NO,10,SF,-0.138299814,48,-0.043867095,-0.094432719,-4.532770497
NO,11,ATL,0.046529584,58,0.003169664,0.04335992,2.514875351
NO,12,DEN,-0.097423341,54,-0.054158531,-0.04326481,-2.336299766
NO,13,ATL,-0.006324974,81,0.007397196,-0.01372217,-1.111495791
NO,14,PHI,0.046451198,65,0.001987491,0.044463707,2.890140949
NO,15,KC,-0.188973664,55,0.012674419,-0.201648083,-11.09064457
NO,16,MIN,0.336897536,71,-0.007684168,0.344581704,24.46530099
NO,17,CAR,0.141673156,54,0.026601797,0.115071359,6.213853391
NO,18,CHI,-0.019328831,71,-0.052022493,0.032693662,2.321249983
NO,19,TB,-0.112182242,62,-0.045047833,-0.067134408,-4.162333318
NYG,1,PIT,-0.207452168,60,-0.100612527,-0.106839641,-6.410378486
NYG,2,CHI,-0.137498139,63,-0.052604414,-0.084893725,-5.348304665
NYG,3,SF,-0.22911043,47,-0.046862832,-0.182247598,-8.56563711
NYG,4,LA,-0.232929419,72,-0.133110995,-0.099818424,-7.186926518
NYG,5,DAL,-0.021507241,69,0.078737935,-0.100245176,-6.916917113
NYG,6,WAS,-0.064728627,44,-0.05878808,-0.005940547,-0.261384068
NYG,7,PHI,-0.003083921,59,-0.004051362,0.00096744,0.057078988
NYG,8,TB,-0.03939585,74,-0.053861149,0.0144653,1.070432166
NYG,9,WAS,-0.057426878,73,-0.054467235,-0.002959643,-0.21605396
NYG,10,PHI,0.080615049,69,-0.011598755,0.092213805,6.362752514
NYG,12,CIN,-0.057261488,83,0.054538296,-0.111799785,-9.279382148
NYG,13,SEA,-0.067395474,56,-0.007192802,-0.060202671,-3.371349594
NYG,14,ARI,-0.227670108,46,0.006012663,-0.233682771,-10.74940746
NYG,15,CLE,-0.175441365,43,0.075250558,-0.250691923,-10.77975267
NYG,16,BAL,-0.215149946,43,-0.060307649,-0.154842297,-6.658218782
NYG,17,DAL,0.016936683,53,0.075584285,-0.058647601,-3.108322876
NYJ,1,BUF,-0.221347674,44,-0.002298869,-0.219048805,-9.638147422
NYJ,2,SF,-0.249185205,46,-0.047099656,-0.202085549,-9.295935255
NYJ,3,IND,-0.130337713,48,-0.034563751,-0.095773962,-4.597150177
NYJ,4,DEN,-0.206326318,80,-0.051654041,-0.154672277,-12.37378218
NYJ,5,ARI,-0.151742573,59,-0.000948572,-0.150794001,-8.896846072
NYJ,6,MIA,-0.493734277,42,0.003196621,-0.496930898,-20.87109771
NYJ,7,BUF,-0.22679712,57,-0.001640513,-0.225156607,-12.8339266
NYJ,8,KC,-0.181184327,45,0.00184548,-0.183029808,-8.236341339
NYJ,9,NE,0.288418038,46,0.037703167,0.250714871,11.53288406
NYJ,11,LAC,-0.104015782,59,-0.033727134,-0.070288648,-4.147030224
NYJ,12,MIA,-0.312658833,56,0.003153248,-0.315812081,-17.68547654
NYJ,13,LV,0.14046114,65,0.033157095,0.107304045,6.974762939
NYJ,14,SEA,-0.242499125,40,-0.004628992,-0.237870133,-9.514805325
NYJ,15,LA,-0.118400177,61,-0.144949034,0.026548856,1.619480243
NYJ,16,CLE,-0.109673842,70,0.071997424,-0.181671266,-12.71698864
NYJ,17,NE,0.037143848,64,0.052736506,-0.015592659,-0.997930163
PHI,1,WAS,-0.227201478,65,-0.045212017,-0.181989461,-11.82931498
PHI,2,LA,0.035362342,70,-0.15169197,0.187054312,13.09380181
PHI,3,CIN,-0.107048204,92,0.059762081,-0.166810285,-15.34654619
PHI,4,SF,-0.091196117,64,-0.054198477,-0.03699764,-2.367848967
PHI,5,PIT,0.033695594,60,-0.115604273,0.149299867,8.957992025
PHI,6,BAL,-0.097686877,71,-0.065883773,-0.031803104,-2.258020405
PHI,7,NYG,-0.023966713,80,0.008956338,-0.032923051,-2.6338441
PHI,8,DAL,-0.065471829,57,0.080619014,-0.146090843,-8.327178072
PHI,10,NYG,0.003109893,69,0.009142396,-0.006032503,-0.416242685
PHI,11,CLE,-0.062643532,68,0.07267756,-0.135321091,-9.201834222
PHI,12,SEA,-0.242311724,69,0.004711482,-0.247023205,-17.04460117
PHI,13,GB,-0.263487655,49,-0.015452383,-0.248035272,-12.15372834
PHI,14,NO,-0.006305868,67,-0.124275319,0.117969451,7.903953207
PHI,15,ARI,-0.076252896,88,-0.000445606,-0.07580729,-6.671041545
PHI,16,DAL,-0.057295721,71,0.079572218,-0.136867938,-9.717623625
PHI,17,WAS,-0.191336661,69,-0.046930574,-0.144406086,-9.964019956
PIT,1,NYG,0.058145302,61,0.013475076,0.044670225,2.724883753
PIT,2,DEN,-0.026045106,63,-0.058134633,0.032089527,2.021640193
PIT,3,HOU,0.087171477,76,0.07970643,0.007465047,0.567343548
PIT,5,PHI,0.066892958,73,-0.009557059,0.076450016,5.580851204
PIT,6,CLE,0.022052972,46,0.071783983,-0.049731011,-2.287626525
PIT,7,TEN,-0.000323415,78,0.05517973,-0.055503146,-4.329245371
PIT,8,BAL,-0.010572879,53,-0.068239097,0.057666218,3.056309561
PIT,9,DAL,-0.087793352,66,0.089313519,-0.177106871,-11.6890535
PIT,10,CIN,0.058400569,55,0.049025219,0.00937535,0.515644233
PIT,11,JAX,-0.042888841,68,0.101454758,-0.144343599,-9.81536476
PIT,12,BAL,-0.063005758,73,-0.060658899,-0.002346859,-0.171320716
PIT,13,WAS,-0.159353032,73,-0.04351336,-0.115839672,-8.456296079
PIT,14,BUF,-0.171128261,58,0.005946527,-0.177074787,-10.27033765
PIT,15,CIN,-0.169702792,65,0.062478968,-0.23218176,-15.0918144
PIT,16,IND,-0.035489381,68,-0.033885833,-0.001603548,-0.109041245
PIT,17,CLE,0.02103268,69,0.072775692,-0.051743012,-3.570267816
PIT,18,CLE,0.077114231,80,0.068365142,0.008749088,0.699927064
SEA,1,ATL,0.130517501,59,-0.006126751,0.136644252,8.06201088
SEA,2,NE,0.192593039,66,0.047691257,0.144901781,9.563517566
SEA,3,DAL,0.03546482,75,0.084996277,-0.049531458,-3.714859336
SEA,4,MIA,0.261956015,59,-0.024295719,0.286251734,16.88885232
SEA,5,MIN,0.007417248,54,0.015374754,-0.007957506,-0.429705303
SEA,7,ARI,0.164096534,87,-0.014663667,0.1787602,15.55213744
SEA,8,SF,0.114094815,65,-0.062328503,0.176423318,11.46751565
SEA,9,BUF,0.098914783,57,-0.006265196,0.105179979,5.99525883
SEA,10,LA,-0.096069499,70,-0.136447723,0.040378224,2.826475679
SEA,11,ARI,0.057409725,66,-0.005318403,0.062728128,4.140056442
SEA,12,PHI,-0.107137469,59,0.005798733,-0.112936203,-6.663235958
SEA,13,NYG,-0.191279683,75,0.03418435,-0.225464033,-16.90980249
SEA,14,NYJ,0.225189045,48,0.055307071,0.169881974,8.154334759
SEA,15,WAS,0.016754258,54,-0.052770375,0.069524633,3.754330189
SEA,16,LA,-0.07492847,60,-0.136249837,0.061321367,3.679282034
SEA,17,SF,-0.038247988,66,-0.049683865,0.011435877,0.754767899
SEA,18,LA,-0.386758311,57,-0.119491368,-0.267266943,-15.23421575
SF,1,ARI,-0.077014709,63,0.000879542,-0.077894251,-4.907337791
SF,2,NYJ,0.161998351,52,0.052473095,0.109525256,5.695313315
SF,3,NYG,0.116322672,62,0.001287504,0.115035168,7.132180426
SF,4,PHI,-0.029992653,72,-0.000100633,-0.02989202,-2.152225426
SF,5,MIA,-0.141070161,50,-0.006602937,-0.134467224,-6.723361218
SF,6,LA,0.027908778,71,-0.147584134,0.175492913,12.45999681
SF,7,NE,0.358903156,49,0.039487117,0.319416039,15.65138591
SF,8,SEA,-0.050035798,48,-0.005383114,-0.044652683,-2.143328805
SF,9,GB,-0.259502538,32,-0.017855948,-0.24164659,-7.732690875
SF,10,NO,-0.267432069,70,-0.106126691,-0.161305378,-11.29137647
SF,12,LA,-0.152285024,76,-0.135395376,-0.016889648,-1.28361322
SF,13,BUF,-0.001441586,50,-0.007037859,0.005596273,0.279813665
SF,14,WAS,-0.217013575,82,-0.039409715,-0.17760386,-14.5635165
SF,15,DAL,-0.08707114,81,0.085043259,-0.172114399,-13.94126633
SF,16,ARI,0.087175243,56,-0.007873038,0.095048281,5.322703719
SF,17,SEA,-0.092381123,66,-0.002573656,-0.089807467,-5.927292835
TB,1,NO,-0.150877142,62,-0.105803972,-0.045073171,-2.794536574
TB,2,CAR,0.113224283,60,0.026926037,0.086298246,5.177894748
TB,3,DEN,-0.012732573,61,-0.054247445,0.041514872,2.532407221
TB,4,LAC,0.150018175,74,-0.033512511,0.183530686,13.58127076
TB,5,CHI,-0.122260679,71,-0.04206838,-0.080192299,-5.693653215
TB,6,GB,0.112061192,45,-0.025363291,0.137424483,6.184101713
TB,7,LV,0.229373102,65,0.044409527,0.184963575,12.02263235
