"posteam","season","week","defteam","time_between_plays","expected_tbp"
"CIN",2019,1,"SEA",36,19.5358549597831
"SEA",2019,1,"CIN",5,27.1546693327961
"SEA",2019,1,"CIN",46,26.9504417330041
"CIN",2019,1,"SEA",28,32.622116514102
"CIN",2019,1,"SEA",4,28.5897901305294
"CIN",2019,1,"SEA",37,27.79489934381
"CIN",2019,1,"SEA",4,26.6015806061108
"CIN",2019,1,"SEA",43,28.0486396426587
"SEA",2019,1,"CIN",4,31.1551100478383
"SEA",2019,1,"CIN",5,31.6130342873897
"SEA",2019,1,"CIN",49,35.3928420318094
"SEA",2019,1,"CIN",24,11.5752204406542
"SEA",2019,1,"CIN",45,10.0073237094058
"SEA",2019,1,"CIN",0,8.38314688500584
"CIN",2019,1,"SEA",7,11.0769130868246
"LV",2019,1,"DEN",33,32.7453165474306
"LV",2019,1,"DEN",38,31.7992832499675
"LV",2019,1,"DEN",41,30.5007615035966
"LV",2019,1,"DEN",36,37.1075375899586
"LV",2019,1,"DEN",41,30.4825351672591
"LV",2019,1,"DEN",43,33.2687357688021
"LV",2019,1,"DEN",25,26.2685635856498
"LV",2019,1,"DEN",26,39.4374618648895
"LV",2019,1,"DEN",41,34.73873481205
"LV",2019,1,"DEN",35,32.9484334235886
"DEN",2019,1,"LV",42,24.3304535531612
"DEN",2019,1,"LV",48,26.4398508024798
"LV",2019,1,"DEN",24,32.2984637770512
"LV",2019,1,"DEN",41,32.5893108175991
"LV",2019,1,"DEN",41,31.7007160959091
"LV",2019,1,"DEN",36,35.2762872053113
"LV",2019,1,"DEN",17,24.6019775188575
"LV",2019,1,"DEN",4,25.6410055561138
"LV",2019,1,"DEN",41,30.5859908754329
"DEN",2019,1,"LV",22,40.400850366245
"DEN",2019,1,"LV",41,28.3432824791181
"DEN",2019,1,"LV",46,30.7926955812542
"DEN",2019,1,"LV",33,30.0384255158659
"DEN",2019,1,"LV",23,27.3531279532144
"DEN",2019,1,"LV",15,23.08860482772
"DEN",2019,1,"LV",40,26.6912537422605
"DEN",2019,1,"LV",8,27.420331567679
"DEN",2019,1,"LV",4,26.4666903427513
"LV",2019,1,"DEN",0,27.2187423691573
"LV",2019,1,"DEN",0,26.8128879549809
"LV",2019,1,"DEN",44,32.9030307303599
"LV",2019,1,"DEN",47,34.5247892103624
"LV",2019,1,"DEN",41,30.1729427870018
"LV",2019,1,"DEN",38,27.3436422463858
"LV",2019,1,"DEN",49,36.7223710466379
"LV",2019,1,"DEN",42,46.9490897676311
"LV",2019,1,"DEN",37,30.990199736072
"LV",2019,1,"DEN",45,35.2620452717277
"LV",2019,1,"DEN",41,29.5574411485183
"LV",2019,1,"DEN",38,30.9696627679858
"LV",2019,1,"DEN",49,31.7507791436181
"LV",2019,1,"DEN",40,32.9544876614908
"DEN",2019,1,"LV",40,33.5383815557328
"DEN",2019,1,"LV",35,27.007327210963
"DEN",2019,1,"LV",15,15.080917003023
"DEN",2019,1,"LV",0,10.832862220561
"DEN",2019,1,"LV",39,14.9906820329073
"DEN",2019,1,"LV",23,12.8340069286125
"DEN",2019,1,"LV",21,15.0470966859198
"DEN",2019,1,"LV",5,10.7634850143407
"DEN",2019,1,"LV",4,6.08796268701668
"DEN",2019,1,"LV",5,5.8856942262523
"DEN",2019,1,"LV",4,6.95672125490295
"DEN",2019,1,"LV",3,6.07103277334829
"DEN",2019,1,"LV",6,1.98245260985526
"DEN",2019,1,"LV",29,28.099536943286
"DEN",2019,1,"LV",36,35.8355260485004
"DEN",2019,1,"LV",28,34.078237298482
"DEN",2019,1,"LV",45,27.5437251599729
"DEN",2019,1,"LV",41,34.1569188520489
"DEN",2019,1,"LV",31,29.8767957087938
"DEN",2019,1,"LV",38,31.5157843256901
"DEN",2019,1,"LV",35,27.1277675060843
"DEN",2019,1,"LV",38,25.1246642582743
"DEN",2019,1,"LV",7,24.256811730376
"LV",2019,1,"DEN",42,28.8654794635192
"LV",2019,1,"DEN",38,33.0533958974872
"DEN",2019,1,"LV",17,32.9557661210705
"DEN",2019,1,"LV",4,28.5923428006067
"DEN",2019,1,"LV",31,26.8473737114751
"DEN",2019,1,"LV",26,29.5297767283929
"DEN",2019,1,"LV",32,28.1745244039834
"DEN",2019,1,"LV",19,36.6030596745164
"DEN",2019,1,"LV",25,30.6124752387816
"DEN",2019,1,"LV",40,27.4798494317947
"LV",2019,1,"DEN",6,28.4236147160691
"LV",2019,1,"DEN",39,34.376575642897
"LV",2019,1,"DEN",39,32.2220966642543
"LV",2019,1,"DEN",6,28.4775108570782
"LV",2019,1,"DEN",43,33.5268971506711
"DEN",2019,1,"LV",34,33.4927964449104
"DEN",2019,1,"LV",40,26.8853594374054
"LV",2019,1,"DEN",47,39.5602039655277
"LV",2019,1,"DEN",39,27.5850405769154
"LV",2019,1,"DEN",42,31.3793573596307
"LV",2019,1,"DEN",46,37.3452848367304
"DEN",2019,1,"LV",25,25.1339488684201
"DEN",2019,1,"LV",55,47.2312044285072
"DEN",2019,1,"LV",34,28.5829772289653
"DEN",2019,1,"LV",35,29.302286346691
"LV",2019,1,"DEN",46,35.1666542901066
"LV",2019,1,"DEN",45,29.0739073355238
